1,"['5', '9', '7', '11']"
3,"['5', '9', '7', '11']"
4,"['5', '9', '7', '11']"
6,"['2', '9', '7', '11']"
7,"['2', '5', '7', '11']"
8,"['2', '5', '9', '11']"
9,"['2', '5', '9', '7']"
10,"['2', '5', '9', '7']"
11,"['2', '5', '9', '7']"
13,"['2', '5', '9', '7']"
14,"['2', '5', '9', '7']"
15,"['2', '5', '9', '7']"
16,"['2', '5', '9', '7']"
17,"['2', '5', '9', '7']"
18,"['2', '5', '9', '7']"
19,"['2', '5', '9', '7']"
20,"['2', '5', '9', '7']"
21,"['2', '5', '9', '7']"
22,"['2', '5', '9', '7']"
23,"['2', '5', '9', '7']"
24,"['2', '5', '9', '7']"
25,"['2', '5', '9', '7']"
26,"['2', '5', '9', '7']"
27,"['2', '5', '9', '7']"
28,"['2', '5', '9', '7']"
2,"['5', '9', '7', '11']"
5,"['2', '5', '9', '7']"
